,Building condition,Living area,Kitchen type,Bedrooms,Bathrooms,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Number of frontages,Furnished,Surface of the plot,Garden surface,Swimming pool,Terrace
12964,As new,241,Installed,4,2,"€ 695,000  695000 €",house,house,for sale,None,2,0.0,121,47,0.0,1.0
12966,As new,250,USA hyper equipped,5,4,"€ 1,395,000  1395000 €",house,house,for sale,None,2,0.0,160,60,0.0,None
12969,Good,226,Installed,4,None,"€ 389,000  389000 €",house,house,for sale,None,3,0.0,502,230,None,None
12970,Just renovated,140,Installed,5,1,"€ 230,000  230000 €",house,house,for sale,Liège,2,0.0,180,55,0.0,None
12971,As new,74,Hyper equipped,2,1,"€ 219,000  219000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
12974,Good,232,Installed,4,2,"€ 645,000  645000 €",house,villa,for sale,None,4,None,1088,900,None,1.0
12976,Good,161,Installed,4,1,"Make an offer starting from  € 250,000  Make an offer starting from  250000 €",house,house,for sale,None,2,0.0,370,None,0.0,None
12977,To renovate,250,Installed,4,1,"€ 575,000  575000 €",house,house,for sale,None,None,0.0,959,None,None,None
12980,To renovate,184,Semi equipped,4,2,"€ 199,000  199000 €",house,house,for sale,None,None,1.0,170,75,None,None
12981,As new,92,USA installed,1,1,"€ 349,000  349000 €",apartment,apartment,for sale,Bruxelles,2,0.0,None,None,0.0,None
12982,None,160,None,6,1,"Make an offer starting from  € 349,000  Make an offer starting from  349000 €",house,house,for sale,None,3,0.0,1131,None,0.0,None
12983,As new,90,Hyper equipped,2,1,"€ 249,000  249000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,None
12984,To renovate,429,None,5,1,"€ 849,000  849000 €",house,villa,for sale,None,4,0.0,5760,None,None,None
12985,Good,70,Installed,2,1,"€ 239,000  239000 €",apartment,apartment,for sale,None,None,1.0,None,None,None,1.0
12986,Just renovated,95,Hyper equipped,2,1,"€ 390,000  390000 €",apartment,apartment,for sale,None,3,0.0,None,None,0.0,None
12987,As new,220,USA semi equipped,4,3,"€ 1,290,000  1290000 €",house,house,for sale,None,3,0.0,430,180,0.0,None
12988,Good,65,Not installed,2,1,"€ 175,000  175000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
12989,Good,536,Installed,8,None,"€ 749,000  749000 €",house,villa,for sale,None,None,0.0,940,174,None,None
12993,As new,56,Hyper equipped,1,1,"€ 220,000  220000 €",apartment,service flat,for sale,Oost-Vlaanderen,None,0.0,None,None,0.0,None
12994,None,99,None,2,1,"€ 219,000  219000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
12995,To be done up,91,Installed,2,1,"€ 275,000  275000 €",apartment,apartment,for sale,Bruxelles Est,2,0.0,None,None,0.0,None
12997,Good,184,None,4,1,"€ 450,000  450000 €",house,house,for sale,rustige ligging in doodlopende straat,3,None,283,None,None,None
12998,To be done up,214,Not installed,3,1,"€ 375,000  375000 €",apartment,penthouse,for sale,None,2,0.0,None,None,0.0,None
12999,Good,372,Installed,5,1,"€ 595,000  595000 €",house,house,for sale,None,4,None,3667,None,None,1.0
13000,Good,130,Hyper equipped,3,1,"€ 339,000  339000 €",house,house,for sale,None,3,0.0,860,650,0.0,None
13001,As new,440,Hyper equipped,13,10,"€ 1,090,000  1090000 €",house,exceptional property,for sale,None,2,1.0,250,None,None,None
13002,As new,76,USA hyper equipped,1,1,"€ 395,000  395000 €",apartment,ground floor,for sale,Bruxelles Sud,None,0.0,None,11,0.0,None
13004,As new,76,Installed,2,1,"€ 349,000  349000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,None
